customer_id,first_name,last_name,gender,email_address,phone_number,city,annual_income,credit_score,customer_segment,account_status,signup_date,signup_year,signup_month,signup_quarter,signup_month_year,signup_day_name,signup_is_weekend,full_name,credit_tier
CUST-2011,Saanvi,Verma,Female,saanvi.verma92@domain.org,Unknown,Mumbai,45000.0,800.0,Consumer,Active,2024-04-02,2024.0,4.0,2024Q2,2024-04,Tuesday,False,Saanvi Verma,Exceptional (800+)
CUST-2012,Pari,Sharma,Female,Unknown,Unknown,Delhi,85000.0,9999.0,Home Office,Inactive,2025-01-16,2025.0,1.0,2025Q1,2025-01,Thursday,False,Pari Sharma,Exceptional (800+)
CUST-2013,Prisha,Sharma,Female,user13@domain.org,+91 8047177296,Delhi,1200000.0,780.0,Consumer,Inactive,2026-01-09,2026.0,1.0,2026Q1,2026-01,Friday,False,Prisha Sharma,Very Good (740-799)
CUST-2014,Vivaan,Verma,Male,vivaan.verma48@domain.org,+91-8271129368,Chennai,1200000.0,800.0,Home Office,Inactive,2024-08-24,2024.0,8.0,2024Q3,2024-08,Saturday,True,Vivaan Verma,Exceptional (800+)
CUST-2015,Riya,Nair,Female,riya.nair35at-domain.com,Unknown,Chennai,15000000.0,-50.0,Corporate,Pending,2025-01-09,2025.0,1.0,2025Q1,2025-01,Thursday,False,Riya Nair,Poor (<580)
CUST-2016,Arjun,Iyer,Female,arjun.iyer50@example.com,Unknown,Bangalore,25000.0,9999.0,Consumer,Inactive,2026-04-17,2026.0,4.0,2026Q2,2026-04,Friday,False,Arjun Iyer,Exceptional (800+)
CUST-2017,Myra,Singh,Other,myra.singh37@example.com,+91-8029141733,Delhi,1200000.0,780.0,Consumer,Active,2025-11-06,2025.0,11.0,2025Q4,2025-11,Thursday,False,Myra Singh,Very Good (740-799)
CUST-2018,Ananya,Reddy,Female,ananya.reddy76@domain.org,+91-9495827412,Mumbai,25000.0,780.0,Home Office,Inactive,2025-05-27,2025.0,5.0,2025Q2,2025-05,Tuesday,False,Ananya Reddy,Very Good (740-799)
CUST-2019,Prisha,Sharma,Other,user19at-domain.com,Unknown,Mumbai,85000.0,780.0,Home Office,Active,2025-07-09,2025.0,7.0,2025Q3,2025-07,Wednesday,False,Prisha Sharma,Very Good (740-799)
CUST-2020,Pari,Rao,Female,pari.rao29@example.com,+91-9274289355,Pune,15000000.0,720.0,Consumer,Inactive,2026-03-07,2026.0,3.0,2026Q1,2026-03,Saturday,True,Pari Rao,Good (670-739)
CUST-2021,Aarav,Reddy,Male,aarav.reddy68@domain.org,Unknown,Mumbai,45000.0,650.0,Home Office,Inactive,2025-11-23,2025.0,11.0,2025Q4,2025-11,Sunday,True,Aarav Reddy,Fair (580-669)
CUST-2022,Riya,Nair,Female,riya.nair98at-domain.com,+91-7737976253,Bangalore,25000.0,780.0,Consumer,Inactive,2024-06-26,2024.0,6.0,2024Q2,2024-06,Wednesday,False,Riya Nair,Very Good (740-799)
CUST-2023,Saanvi,Rao,Male,saanvi.rao54at-domain.com,Unknown,Hyderabad,750000.0,-50.0,Consumer,Inactive,,,,,,,False,Saanvi Rao,Poor (<580)
CUST-2024,Ayaan,Rao,Female,ayaan.rao95at-domain.com,+91-7953680798,Bangalore,45000.0,-50.0,Consumer,Active,2024-04-23,2024.0,4.0,2024Q2,2024-04,Tuesday,False,Ayaan Rao,Poor (<580)
CUST-2025,Riya,Sharma,Unknown,Unknown,+91 8937076131,Pune,85000.0,9999.0,Home Office,Inactive,2024-05-26,2024.0,5.0,2024Q2,2024-05,Sunday,True,Riya Sharma,Exceptional (800+)
CUST-2026,Chiara,Iyer,Female,chiara.iyer71@example.com,Unknown,Bengaluru,750000.0,720.0,Consumer,Active,2024-03-29,2024.0,3.0,2024Q1,2024-03,Friday,False,Chiara Iyer,Good (670-739)
CUST-2027,Chiara,Kapoor,Female,chiara.kapoor40@example.com,+91 7238389629,Mumbai,1200000.0,590.0,Home Office,Pending,2025-09-05,2025.0,9.0,2025Q3,2025-09,Friday,False,Chiara Kapoor,Fair (580-669)
CUST-2028,Avani,Rao,Male,avani.rao22@domain.org,+91 8241803236,Kolkata,85000.0,800.0,Consumer,Inactive,2025-03-30,2025.0,3.0,2025Q1,2025-03,Sunday,True,Avani Rao,Exceptional (800+)
CUST-2029,Unknown,Sharma,Unknown,user29at-domain.com,Unknown,Mumbai,1200000.0,780.0,Consumer,Inactive,2024-04-11,2024.0,4.0,2024Q2,2024-04,Thursday,False,Unknown Sharma,Very Good (740-799)
CUST-2030,Diya,Patel,Female,diya.patel87@domain.org,+91-9256804645,Mumbai,750000.0,780.0,Home Office,Active,2025-03-25,2025.0,3.0,2025Q1,2025-03,Tuesday,False,Diya Patel,Very Good (740-799)
CUST-2031,Sai,Sharma,Female,user31@example.com,+91-9226147946,Mumbai,45000.0,780.0,Home Office,Suspended,2026-02-21,2026.0,2.0,2026Q1,2026-02,Saturday,True,Sai Sharma,Very Good (740-799)
CUST-2032,Diya,Reddy,Female,diya.reddy52@domain.org,Unknown,Kolkata,25000.0,-50.0,Consumer,Inactive,2024-05-03,2024.0,5.0,2024Q2,2024-05,Friday,False,Diya Reddy,Poor (<580)
CUST-2033,Pari,Kapoor,Male,pari.kapoor60at-domain.com,Unknown,Mumbai,25000.0,850.0,Consumer,Pending,2025-01-07,2025.0,1.0,2025Q1,2025-01,Tuesday,False,Pari Kapoor,Exceptional (800+)
CUST-2034,Prisha,Singh,Male,Unknown,+91-7646189303,Mumbai,85000.0,720.0,Consumer,Inactive,2024-12-10,2024.0,12.0,2024Q4,2024-12,Tuesday,False,Prisha Singh,Good (670-739)
CUST-2035,Diya,Reddy,Unknown,diya.reddy22at-domain.com,+91 8709389252,Delhi,750000.0,9999.0,Corporate,Inactive,,,,,,,False,Diya Reddy,Exceptional (800+)
CUST-2036,Aarav,Sharma,Female,user36@example.com,+91-9382010704,Bengaluru,85000.0,-50.0,Home Office,Inactive,2024-01-26,2024.0,1.0,2024Q1,2024-01,Friday,False,Aarav Sharma,Poor (<580)
CUST-2037,Krishna,Khan,Female,krishna.khan51@domain.org,+91 9090135286,Delhi,750000.0,780.0,Consumer,Inactive,2024-02-29,2024.0,2.0,2024Q1,2024-02,Thursday,False,Krishna Khan,Very Good (740-799)
CUST-2038,Reyansh,Khan,Other,reyansh.khan28@domain.org,Unknown,Bangalore,750000.0,650.0,Consumer,Inactive,2025-04-27,2025.0,4.0,2025Q2,2025-04,Sunday,True,Reyansh Khan,Fair (580-669)
CUST-2039,Saanvi,Verma,Male,saanvi.verma30at-domain.com,+91 7720546090,Mumbai,15000000.0,780.0,Corporate,Suspended,2025-10-11,2025.0,10.0,2025Q4,2025-10,Saturday,True,Saanvi Verma,Very Good (740-799)
CUST-2040,Krishna,Kapoor,Other,krishna.kapoor73@domain.org,88674-58866,Mumbai,85000.0,780.0,Corporate,Active,2024-06-15,2024.0,6.0,2024Q2,2024-06,Saturday,True,Krishna Kapoor,Very Good (740-799)
CUST-2041,Krishna,Sharma,Female,krishna.sharma33at-domain.com,Unknown,Delhi,15000000.0,800.0,Consumer,Pending,2024-06-15,2024.0,6.0,2024Q2,2024-06,Saturday,True,Krishna Sharma,Exceptional (800+)
CUST-2042,Ananya,Mehta,Female,ananya.mehta45@example.com,80534-69214,Mumbai,45000.0,9999.0,Corporate,Pending,2025-12-08,2025.0,12.0,2025Q4,2025-12,Monday,False,Ananya Mehta,Exceptional (800+)
CUST-2043,Ananya,Sharma,Male,Unknown,Unknown,Hyderabad,1200000.0,780.0,Home Office,Inactive,2026-03-22,2026.0,3.0,2026Q1,2026-03,Sunday,True,Ananya Sharma,Very Good (740-799)
CUST-2044,Aditya,Rao,Female,aditya.rao96@domain.org,Unknown,Mumbai,750000.0,850.0,Corporate,Active,2024-04-25,2024.0,4.0,2024Q2,2024-04,Thursday,False,Aditya Rao,Exceptional (800+)
CUST-2045,Ayaan,Rao,Unknown,Unknown,Unknown,Bangalore,25000.0,780.0,Consumer,Pending,2024-02-24,2024.0,2.0,2024Q1,2024-02,Saturday,True,Ayaan Rao,Very Good (740-799)
CUST-2046,Chiara,Sharma,Male,Unknown,Unknown,Bangalore,85000.0,800.0,Corporate,Active,2025-05-31,2025.0,5.0,2025Q2,2025-05,Saturday,True,Chiara Sharma,Exceptional (800+)
CUST-2047,Prisha,Nair,Female,Unknown,+91 8586884955,Delhi,15000000.0,780.0,Home Office,Pending,,,,,,,False,Prisha Nair,Very Good (740-799)
CUST-2048,Reyansh,Sharma,Female,Unknown,Unknown,Mumbai,750000.0,590.0,Consumer,Active,2024-12-26,2024.0,12.0,2024Q4,2024-12,Thursday,False,Reyansh Sharma,Fair (580-669)
CUST-2049,Unknown,Verma,Female,user49@example.com,+91 8099204214,Delhi,45000.0,800.0,Home Office,Suspended,2025-04-10,2025.0,4.0,2025Q2,2025-04,Thursday,False,Unknown Verma,Exceptional (800+)
CUST-2050,Sai,Patel,Female,sai.patel24at-domain.com,Unknown,Chennai,25000.0,590.0,Corporate,Suspended,2025-11-08,2025.0,11.0,2025Q4,2025-11,Saturday,True,Sai Patel,Fair (580-669)
CUST-2051,Riya,Patel,Female,riya.patel39@domain.org,91451-65281,Pune,85000.0,590.0,Consumer,Inactive,,,,,,,False,Riya Patel,Fair (580-669)
CUST-2052,Vivaan,Patel,Male,vivaan.patel29@domain.org,+91-9977441478,Mumbai,750000.0,780.0,Consumer,Inactive,2024-06-12,2024.0,6.0,2024Q2,2024-06,Wednesday,False,Vivaan Patel,Very Good (740-799)
CUST-2053,Aadhya,Sharma,Female,aadhya.sharma61@domain.org,70246-14805,Bengaluru,1200000.0,780.0,Consumer,Inactive,2025-01-26,2025.0,1.0,2025Q1,2025-01,Sunday,True,Aadhya Sharma,Very Good (740-799)
CUST-2054,Unknown,Verma,Male,user54@example.com,Unknown,Mumbai,25000.0,590.0,Home Office,Inactive,2025-11-02,2025.0,11.0,2025Q4,2025-11,Sunday,True,Unknown Verma,Fair (580-669)
CUST-2055,Diya,Verma,Female,diya.verma40at-domain.com,74608-93014,Mumbai,25000.0,800.0,Consumer,Active,,,,,,,False,Diya Verma,Exceptional (800+)
CUST-2056,Diya,Verma,Female,diya.verma82at-domain.com,83159-55013,Delhi,45000.0,800.0,Consumer,Inactive,2026-06-01,2026.0,6.0,2026Q2,2026-06,Monday,False,Diya Verma,Exceptional (800+)
CUST-2057,Reyansh,Sharma,Male,Unknown,Unknown,Mumbai,85000.0,9999.0,Home Office,Suspended,2024-08-08,2024.0,8.0,2024Q3,2024-08,Thursday,False,Reyansh Sharma,Exceptional (800+)
CUST-2058,Prisha,Mehta,Female,prisha.mehta59at-domain.com,Unknown,Bangalore,85000.0,800.0,Corporate,Inactive,2025-03-30,2025.0,3.0,2025Q1,2025-03,Sunday,True,Prisha Mehta,Exceptional (800+)
CUST-2059,Arjun,Rao,Female,arjun.rao64@domain.org,+91-9958609280,Bengaluru,15000000.0,780.0,Home Office,Suspended,2025-04-15,2025.0,4.0,2025Q2,2025-04,Tuesday,False,Arjun Rao,Very Good (740-799)
CUST-2060,Reyansh,Iyer,Male,reyansh.iyer94@example.com,+91-7254619058,Delhi,750000.0,780.0,Consumer,Inactive,2024-06-12,2024.0,6.0,2024Q2,2024-06,Wednesday,False,Reyansh Iyer,Very Good (740-799)
CUST-2061,Myra,Patel,Male,Unknown,Unknown,Delhi,85000.0,-50.0,Consumer,Pending,2025-07-17,2025.0,7.0,2025Q3,2025-07,Thursday,False,Myra Patel,Poor (<580)
CUST-2062,Chiara,Sharma,Male,Unknown,77844-35784,Bengaluru,45000.0,590.0,Consumer,Inactive,2025-09-16,2025.0,9.0,2025Q3,2025-09,Tuesday,False,Chiara Sharma,Fair (580-669)
CUST-2063,Krishna,Sharma,Female,krishna.sharma50@example.com,+91 8361344239,Chennai,750000.0,650.0,Consumer,Active,2024-08-19,2024.0,8.0,2024Q3,2024-08,Monday,False,Krishna Sharma,Fair (580-669)
CUST-2064,Unknown,Sharma,Female,user64at-domain.com,+91-9341704696,Hyderabad,1200000.0,850.0,Consumer,Suspended,2026-05-04,2026.0,5.0,2026Q2,2026-05,Monday,False,Unknown Sharma,Exceptional (800+)
CUST-2065,Ananya,Patel,Female,Unknown,+91 9651672381,Hyderabad,85000.0,780.0,Home Office,Inactive,,,,,,,False,Ananya Patel,Very Good (740-799)
CUST-2066,Diya,Sharma,Male,Unknown,+91 7244232139,Delhi,25000.0,590.0,Consumer,Suspended,2025-10-12,2025.0,10.0,2025Q4,2025-10,Sunday,True,Diya Sharma,Fair (580-669)
CUST-2067,Prisha,Patel,Female,prisha.patel37at-domain.com,81206-73945,Delhi,1200000.0,780.0,Home Office,Pending,2024-11-15,2024.0,11.0,2024Q4,2024-11,Friday,False,Prisha Patel,Very Good (740-799)
CUST-2068,Ishaan,Rao,Male,ishaan.rao17at-domain.com,+91 8013050965,Mumbai,45000.0,720.0,Corporate,Active,2026-04-15,2026.0,4.0,2026Q2,2026-04,Wednesday,False,Ishaan Rao,Good (670-739)
CUST-2069,Aadhya,Kapoor,Other,aadhya.kapoor71@example.com,+91-9034656567,Delhi,750000.0,780.0,Corporate,Active,2025-01-08,2025.0,1.0,2025Q1,2025-01,Wednesday,False,Aadhya Kapoor,Very Good (740-799)
CUST-2070,Ananya,Iyer,Male,ananya.iyer19at-domain.com,+91 8579247668,Pune,750000.0,-50.0,Consumer,Inactive,2024-05-03,2024.0,5.0,2024Q2,2024-05,Friday,False,Ananya Iyer,Poor (<580)
CUST-2071,Riya,Rao,Male,riya.rao93@domain.org,Unknown,Mumbai,85000.0,800.0,Home Office,Active,2024-08-09,2024.0,8.0,2024Q3,2024-08,Friday,False,Riya Rao,Exceptional (800+)
CUST-2072,Reyansh,Sharma,Other,reyansh.sharma27at-domain.com,Unknown,Hyderabad,25000.0,780.0,Home Office,Inactive,2025-10-24,2025.0,10.0,2025Q4,2025-10,Friday,False,Reyansh Sharma,Very Good (740-799)
CUST-2073,Saanvi,Singh,Female,saanvi.singh98@domain.org,Unknown,Mumbai,25000.0,720.0,Home Office,Inactive,2024-10-09,2024.0,10.0,2024Q4,2024-10,Wednesday,False,Saanvi Singh,Good (670-739)
CUST-2074,Riya,Patel,Female,Unknown,Unknown,Mumbai,15000000.0,780.0,Corporate,Suspended,2024-01-23,2024.0,1.0,2024Q1,2024-01,Tuesday,False,Riya Patel,Very Good (740-799)
CUST-2075,Reyansh,Sharma,Other,Unknown,Unknown,Chennai,85000.0,9999.0,Consumer,Inactive,2026-05-25,2026.0,5.0,2026Q2,2026-05,Monday,False,Reyansh Sharma,Exceptional (800+)
CUST-2076,Arjun,Patel,Male,Unknown,+91-7143139908,Chennai,750000.0,780.0,Home Office,Inactive,2025-12-31,2025.0,12.0,2025Q4,2025-12,Wednesday,False,Arjun Patel,Very Good (740-799)
CUST-2077,Vivaan,Kapoor,Other,Unknown,+91-8922642069,Mumbai,750000.0,850.0,Consumer,Pending,2025-02-21,2025.0,2.0,2025Q1,2025-02,Friday,False,Vivaan Kapoor,Exceptional (800+)
CUST-2078,Unknown,Kapoor,Male,user78at-domain.com,75669-28345,Bengaluru,85000.0,-50.0,Corporate,Inactive,2025-09-14,2025.0,9.0,2025Q3,2025-09,Sunday,True,Unknown Kapoor,Poor (<580)
CUST-2079,Vihaan,Mehta,Unknown,Unknown,Unknown,Bengaluru,15000000.0,780.0,Consumer,Inactive,,,,,,,False,Vihaan Mehta,Very Good (740-799)
CUST-2080,Aadhya,Mehta,Other,aadhya.mehta29@example.com,+91 9795696075,Delhi,85000.0,-50.0,Home Office,Pending,2026-01-10,2026.0,1.0,2026Q1,2026-01,Saturday,True,Aadhya Mehta,Poor (<580)
CUST-2081,Chiara,Khan,Female,Unknown,+91-7381468801,Mumbai,15000000.0,720.0,Consumer,Inactive,2026-03-27,2026.0,3.0,2026Q1,2026-03,Friday,False,Chiara Khan,Good (670-739)
CUST-2082,Aadhya,Patel,Female,Unknown,+91-8735244795,Delhi,15000000.0,780.0,Corporate,Inactive,2024-12-15,2024.0,12.0,2024Q4,2024-12,Sunday,True,Aadhya Patel,Very Good (740-799)
CUST-2083,Myra,Reddy,Male,myra.reddy72@domain.org,Unknown,Mumbai,45000.0,780.0,Home Office,Inactive,2024-07-16,2024.0,7.0,2024Q3,2024-07,Tuesday,False,Myra Reddy,Very Good (740-799)
CUST-2084,Vihaan,Mehta,Female,vihaan.mehta79at-domain.com,Unknown,Pune,1200000.0,-50.0,Consumer,Inactive,2025-05-14,2025.0,5.0,2025Q2,2025-05,Wednesday,False,Vihaan Mehta,Poor (<580)
CUST-2085,Ishaan,Verma,Male,ishaan.verma79@example.com,+91 8027880085,Delhi,1200000.0,800.0,Corporate,Active,2025-08-03,2025.0,8.0,2025Q3,2025-08,Sunday,True,Ishaan Verma,Exceptional (800+)
CUST-2086,Arjun,Mehta,Male,arjun.mehta83@example.com,Unknown,Chennai,85000.0,850.0,Corporate,Pending,2025-10-02,2025.0,10.0,2025Q4,2025-10,Thursday,False,Arjun Mehta,Exceptional (800+)
CUST-2087,Vihaan,Rao,Other,vihaan.rao55@domain.org,Unknown,Delhi,85000.0,780.0,Consumer,Inactive,,,,,,,False,Vihaan Rao,Very Good (740-799)
CUST-2088,Saanvi,Khan,Female,Unknown,83187-09181,Chennai,85000.0,9999.0,Home Office,Suspended,2024-07-23,2024.0,7.0,2024Q3,2024-07,Tuesday,False,Saanvi Khan,Exceptional (800+)
CUST-2089,Sai,Sharma,Other,user89@example.com,Unknown,Mumbai,1200000.0,590.0,Consumer,Active,2024-07-14,2024.0,7.0,2024Q3,2024-07,Sunday,True,Sai Sharma,Fair (580-669)
CUST-2090,Riya,Sharma,Female,riya.sharma79at-domain.com,+91-7050781436,Hyderabad,1200000.0,590.0,Consumer,Inactive,2025-03-01,2025.0,3.0,2025Q1,2025-03,Saturday,True,Riya Sharma,Fair (580-669)
CUST-2091,Saanvi,Nair,Other,saanvi.nair67@example.com,Unknown,Mumbai,750000.0,780.0,Consumer,Active,2024-10-31,2024.0,10.0,2024Q4,2024-10,Thursday,False,Saanvi Nair,Very Good (740-799)
CUST-2092,Avani,Patel,Other,avani.patel21@example.com,+91 7000917984,Mumbai,25000.0,780.0,Consumer,Inactive,2025-05-04,2025.0,5.0,2025Q2,2025-05,Sunday,True,Avani Patel,Very Good (740-799)
CUST-2093,Reyansh,Rao,Female,reyansh.rao90@example.com,Unknown,Mumbai,25000.0,720.0,Consumer,Active,,,,,,,False,Reyansh Rao,Good (670-739)
CUST-2094,Myra,Sharma,Male,myra.sharma79@domain.org,+91-9935856461,Delhi,45000.0,780.0,Consumer,Pending,2024-03-06,2024.0,3.0,2024Q1,2024-03,Wednesday,False,Myra Sharma,Very Good (740-799)
CUST-2095,Ishaan,Verma,Male,ishaan.verma48@example.com,Unknown,Bengaluru,85000.0,9999.0,Corporate,Active,2025-12-04,2025.0,12.0,2025Q4,2025-12,Thursday,False,Ishaan Verma,Exceptional (800+)
CUST-2096,Avani,Sharma,Female,avani.sharma29@example.com,+91-8422748152,Delhi,85000.0,590.0,Home Office,Suspended,2024-07-31,2024.0,7.0,2024Q3,2024-07,Wednesday,False,Avani Sharma,Fair (580-669)
CUST-2097,Pari,Rao,Male,Unknown,78032-20592,Hyderabad,25000.0,780.0,Consumer,Inactive,2025-03-22,2025.0,3.0,2025Q1,2025-03,Saturday,True,Pari Rao,Very Good (740-799)
CUST-2098,Vivaan,Kapoor,Female,vivaan.kapoor12@domain.org,Unknown,Mumbai,45000.0,590.0,Home Office,Suspended,2025-08-23,2025.0,8.0,2025Q3,2025-08,Saturday,True,Vivaan Kapoor,Fair (580-669)
CUST-2099,Riya,Singh,Male,riya.singh60@example.com,84118-26729,Hyderabad,85000.0,9999.0,Corporate,Inactive,2025-04-29,2025.0,4.0,2025Q2,2025-04,Tuesday,False,Riya Singh,Exceptional (800+)
CUST-2100,Unknown,Nair,Female,user100@example.com,+91-8640556552,Bengaluru,750000.0,590.0,Corporate,Active,2025-01-21,2025.0,1.0,2025Q1,2025-01,Tuesday,False,Unknown Nair,Fair (580-669)
CUST-2101,Ananya,Patel,Female,ananya.patel49@domain.org,+91 8416268189,Bangalore,85000.0,650.0,Home Office,Inactive,2025-09-10,2025.0,9.0,2025Q3,2025-09,Wednesday,False,Ananya Patel,Fair (580-669)
CUST-2102,Arjun,Mehta,Female,arjun.mehta28@domain.org,+91 9527955752,Mumbai,85000.0,-50.0,Consumer,Inactive,2025-06-16,2025.0,6.0,2025Q2,2025-06,Monday,False,Arjun Mehta,Poor (<580)
CUST-2103,Ananya,Verma,Male,Unknown,83725-04845,Mumbai,25000.0,780.0,Consumer,Inactive,2025-10-27,2025.0,10.0,2025Q4,2025-10,Monday,False,Ananya Verma,Very Good (740-799)
CUST-2104,Arjun,Patel,Other,Unknown,95820-80265,Kolkata,85000.0,780.0,Consumer,Suspended,2025-04-01,2025.0,4.0,2025Q2,2025-04,Tuesday,False,Arjun Patel,Very Good (740-799)
CUST-2105,Unknown,Nair,Male,user105@domain.org,94301-35019,Mumbai,85000.0,780.0,Consumer,Pending,2025-11-05,2025.0,11.0,2025Q4,2025-11,Wednesday,False,Unknown Nair,Very Good (740-799)
CUST-2106,Prisha,Verma,Other,prisha.verma56at-domain.com,+91-7088840699,Bangalore,750000.0,780.0,Home Office,Active,2025-10-12,2025.0,10.0,2025Q4,2025-10,Sunday,True,Prisha Verma,Very Good (740-799)
CUST-2107,Pari,Singh,Male,pari.singh93@example.com,Unknown,Mumbai,750000.0,720.0,Corporate,Suspended,2024-07-19,2024.0,7.0,2024Q3,2024-07,Friday,False,Pari Singh,Good (670-739)
CUST-2108,Prisha,Sharma,Male,Unknown,71793-44446,Bengaluru,85000.0,780.0,Consumer,Suspended,,,,,,,False,Prisha Sharma,Very Good (740-799)
CUST-2109,Unknown,Iyer,Male,user109@domain.org,Unknown,Bangalore,85000.0,650.0,Consumer,Active,,,,,,,False,Unknown Iyer,Fair (580-669)
CUST-2110,Pari,Verma,Male,pari.verma15@example.com,95425-02251,Kolkata,1200000.0,-50.0,Corporate,Active,2025-07-03,2025.0,7.0,2025Q3,2025-07,Thursday,False,Pari Verma,Poor (<580)
CUST-2111,Aadhya,Mehta,Female,Unknown,93244-77422,Mumbai,1200000.0,590.0,Consumer,Inactive,2024-06-02,2024.0,6.0,2024Q2,2024-06,Sunday,True,Aadhya Mehta,Fair (580-669)
CUST-2112,Sai,Reddy,Female,Unknown,93787-02473,Pune,1200000.0,800.0,Corporate,Inactive,2025-12-18,2025.0,12.0,2025Q4,2025-12,Thursday,False,Sai Reddy,Exceptional (800+)
CUST-2113,Krishna,Singh,Female,krishna.singh28@example.com,Unknown,Bengaluru,15000000.0,9999.0,Home Office,Inactive,,,,,,,False,Krishna Singh,Exceptional (800+)
CUST-2114,Myra,Kapoor,Male,Unknown,+91 7994613697,Mumbai,15000000.0,780.0,Consumer,Active,2024-02-10,2024.0,2.0,2024Q1,2024-02,Saturday,True,Myra Kapoor,Very Good (740-799)
CUST-2115,Vihaan,Singh,Male,Unknown,+91-7439046159,Pune,45000.0,850.0,Consumer,Suspended,,,,,,,False,Vihaan Singh,Exceptional (800+)
CUST-2116,Myra,Sharma,Male,user116at-domain.com,+91-9787413869,Delhi,25000.0,780.0,Corporate,Inactive,2024-07-19,2024.0,7.0,2024Q3,2024-07,Friday,False,Myra Sharma,Very Good (740-799)
CUST-2117,Krishna,Mehta,Male,krishna.mehta97@example.com,+91 9819200540,Hyderabad,25000.0,-50.0,Corporate,Pending,2025-07-12,2025.0,7.0,2025Q3,2025-07,Saturday,True,Krishna Mehta,Poor (<580)
CUST-2118,Pari,Kapoor,Male,pari.kapoor61@domain.org,Unknown,Delhi,15000000.0,9999.0,Corporate,Pending,2025-10-30,2025.0,10.0,2025Q4,2025-10,Thursday,False,Pari Kapoor,Exceptional (800+)
CUST-2119,Avani,Mehta,Female,avani.mehta37at-domain.com,Unknown,Bengaluru,15000000.0,800.0,Corporate,Active,2024-12-12,2024.0,12.0,2024Q4,2024-12,Thursday,False,Avani Mehta,Exceptional (800+)
CUST-2120,Krishna,Sharma,Female,krishna.sharma47at-domain.com,+91 9780015458,Mumbai,750000.0,650.0,Home Office,Active,2025-04-11,2025.0,4.0,2025Q2,2025-04,Friday,False,Krishna Sharma,Fair (580-669)
